clade_groups,Agriculture,orthology_meta,genome_count
Escovopsis,Coral,OG0000236,6
Escovopsis,Coral,OG0000237,6
Escovopsis,Coral,OG0000238,6
Escovopsis,Coral,OG0000239,6
Escovopsis,Coral,OG0000240,5
Escovopsis,Coral,OG0000241,6
Escovopsis,Coral,OG0000242,6
Escovopsis,Coral,OG0000244,6
Escovopsis,Coral,OG0000245,6
Escovopsis,Coral,OG0000246,6
Escovopsis,Coral,OG0000247,6
Escovopsis,Coral,OG0000248,6
Escovopsis,Coral,OG0000249,6
Escovopsis,Coral,OG0000251,6
Escovopsis,Coral,OG0000252,6
Escovopsis,Coral,OG0000253,6
Escovopsis,Coral,OG0000254,6
Escovopsis,Coral,OG0000255,6
Escovopsis,Coral,OG0000256,6
Escovopsis,Coral,OG0000258,6
Escovopsis,Coral,OG0000259,6
Escovopsis,Coral,OG0000260,6
Escovopsis,Coral,OG0000262,6
Escovopsis,Coral,OG0000263,6
Escovopsis,Coral,OG0000264,6
Escovopsis,Coral,OG0000265,5
Escovopsis,Coral,OG0000266,6
Escovopsis,Coral,OG0000268,6
Escovopsis,Coral,OG0000269,6
Escovopsis,Coral,OG0000270,6
Escovopsis,Coral,OG0000271,6
Escovopsis,Coral,OG0000272,6
Escovopsis,Coral,OG0000273,6
Escovopsis,Coral,OG0000274,5
Escovopsis,Coral,OG0000275,6
Escovopsis,Coral,OG0000276,6
Escovopsis,Coral,OG0000278,6
Escovopsis,Coral,OG0000280,6
Escovopsis,Coral,OG0000281,6
Escovopsis,Coral,OG0000282,6
Escovopsis,Coral,OG0000283,6
Escovopsis,Coral,OG0000284,6
Escovopsis,Coral,OG0000285,6
Escovopsis,Coral,OG0000286,6
Escovopsis,Coral,OG0000288,6
Escovopsis,Coral,OG0000290,6
Escovopsis,Coral,OG0000291,6
Escovopsis,Coral,OG0000293,6
Escovopsis,Coral,OG0000294,6
Escovopsis,Coral,OG0000295,5
Escovopsis,Coral,OG0000297,6
Escovopsis,Coral,OG0000299,6
Escovopsis,Coral,OG0000300,5
Escovopsis,Coral,OG0000301,6
Escovopsis,Coral,OG0000302,6
Escovopsis,Coral,OG0000304,6
Escovopsis,Coral,OG0000306,6
Escovopsis,Coral,OG0000307,6
Escovopsis,Coral,OG0000308,5
Escovopsis,Coral,OG0000309,5
Escovopsis,Coral,OG0000310,6
Escovopsis,Coral,OG0000311,6
Escovopsis,Coral,OG0000312,5
Escovopsis,Coral,OG0000313,6
Escovopsis,Coral,OG0000314,6
Escovopsis,Coral,OG0000315,6
Escovopsis,Coral,OG0000316,6
Escovopsis,Coral,OG0000317,6
Escovopsis,Coral,OG0000318,6
Escovopsis,Coral,OG0000320,6
Escovopsis,Coral,OG0000321,6
Escovopsis,Coral,OG0000322,6
Escovopsis,Coral,OG0000323,6
Escovopsis,Coral,OG0000324,6
Escovopsis,Coral,OG0000325,5
Escovopsis,Coral,OG0000326,6
Escovopsis,Coral,OG0000327,6
Escovopsis,Coral,OG0000328,6
Escovopsis,Coral,OG0000330,6
Escovopsis,Coral,OG0000331,6
Escovopsis,Coral,OG0000332,6
Escovopsis,Coral,OG0000334,6
Escovopsis,Coral,OG0000336,6
Escovopsis,Coral,OG0000337,6
Escovopsis,Coral,OG0000338,6
Escovopsis,Coral,OG0000339,5
Escovopsis,Coral,OG0000340,6
Escovopsis,Coral,OG0000341,6
Escovopsis,Coral,OG0000343,6
Escovopsis,Coral,OG0000344,5
Escovopsis,Coral,OG0000346,6
Escovopsis,Coral,OG0000347,6
Escovopsis,Coral,OG0000348,6
Escovopsis,Coral,OG0000349,6
Escovopsis,Coral,OG0000350,6
Escovopsis,Coral,OG0000356,6
Escovopsis,Coral,OG0000357,6
Escovopsis,Coral,OG0000358,6
Escovopsis,Coral,OG0000360,6
Escovopsis,Coral,OG0000361,6
Escovopsis,Coral,OG0000363,6
Escovopsis,Coral,OG0000364,6
Escovopsis,Coral,OG0000365,6
Escovopsis,Coral,OG0000366,6
Escovopsis,Coral,OG0000367,6
Escovopsis,Coral,OG0000368,6
Escovopsis,Coral,OG0000369,6
Escovopsis,Coral,OG0000370,6
Escovopsis,Coral,OG0000371,6
Escovopsis,Coral,OG0000372,6
Escovopsis,Coral,OG0000373,6
Escovopsis,Coral,OG0000374,5
Escovopsis,Coral,OG0000375,6
Escovopsis,Coral,OG0000376,5
Escovopsis,Coral,OG0000377,6
Escovopsis,Coral,OG0000379,6
Escovopsis,Coral,OG0000380,6
Escovopsis,Coral,OG0000381,6
Escovopsis,Coral,OG0000382,6
